gene	logFCInfectedvsMock24	logFCInfected12vs4	logFCInfected24vs4	DEInfectedvsMock24	DEInfected12vs4	DEInfected24vs4
SERPINA10	6.96215148123714	5.65119938346358	6.50166403935243	TRUE	FALSE	FALSE
LPA	6.94033996612766	1.43059985413654	6.48199602377765	TRUE	FALSE	TRUE
ZBP1	6.92178629469769	5.19585754372407	6.82180439044102	TRUE	TRUE	TRUE
AC002059.3	6.89044240745578	5.99974320228564	6.42567774781027	TRUE	FALSE	TRUE
OR7E122P	6.86648140515634	2.89833323937175	6.41180527165032	TRUE	FALSE	TRUE
IFNA2	6.83931228272611	1.43059942010816	6.38330510674402	TRUE	FALSE	TRUE
RBPJL	6.81248717728443	1.41650585745178	4.92151641157708	TRUE	FALSE	TRUE
OASL2P	6.81248717728443	1.43059945012733	6.35211544184296	TRUE	FALSE	TRUE
TENM2	6.78549776250059	-0.162117031823303	3.31146859813197	TRUE	FALSE	TRUE
AC099343.2	6.78549776250059	2.17621451368103	3.27965690087183	TRUE	FALSE	TRUE
OR52K3P	6.76372934824352	6.18679400649515	6.2986462119088	TRUE	TRUE	TRUE
CSAG3	6.75780253335243	1.43059907004871	6.28791655507846	TRUE	FALSE	TRUE
IDO1	6.73847121675498	6.23862294983565	7.59374111548144	TRUE	TRUE	TRUE
TRPA1	6.73092562656921	3.86783752818884	6.27276504453043	TRUE	FALSE	TRUE
AC022106.1	6.73092562656921	3.77951663080841	6.27438122632421	TRUE	FALSE	TRUE
IL3RA	6.70157066806854	3.77995207585865	6.24170429022784	TRUE	FALSE	TRUE
LINC02044	6.70157066806854	0.0030123646523443	4.81514795187771	TRUE	FALSE	TRUE
TMEM239	6.68197004400689	2.90523917152277	6.19696827336452	TRUE	FALSE	TRUE
IFNA8	6.67229271786785	1.43059889195262	6.20939686492626	TRUE	FALSE	TRUE
PIEZO2	6.67229271786785	-0.960777861815819	3.817716254047	TRUE	FALSE	FALSE
EFL1P1	6.67229271786785	4.3462499142687	6.20869236358114	TRUE	FALSE	TRUE
ZBTB32	6.64245500069839	1.43059865707923	6.17430379769078	TRUE	FALSE	TRUE
NLRP4	6.64245500069839	1.43059865707923	6.17430379769078	TRUE	FALSE	TRUE
AP001528.3	6.64245500069839	2.84300442199782	6.1749714303379	TRUE	FALSE	TRUE
AC105105.4	6.63505462718923	5.60479201229301	7.61735347485629	TRUE	TRUE	TRUE
